station,valid,p01m,wxcodes
IJD,2020-12-01 00:14,2.54,+RA BR
IJD,2020-12-01 00:23,4.06,+RA BR
IJD,2020-12-01 00:25,4.06,RA BR
IJD,2020-12-01 00:46,6.10,+RA BR
IJD,2020-12-01 00:52,9.14,+RA BR
IJD,2020-12-01 01:01,0.51,-RA BR
IJD,2020-12-01 01:30,2.29,-RA BR
IJD,2020-12-01 01:52,2.54,M
IJD,2020-12-01 02:21,T,M
IJD,2020-12-01 02:52,T,-RA BR
IJD,2020-12-01 03:33,0.25,-RA
IJD,2020-12-01 03:52,0.25,M
IJD,2020-12-01 04:52,0.00,M
IJD,2020-12-01 05:52,0.00,M
IJD,2020-12-01 06:30,0.00,M
IJD,2020-12-01 06:52,0.00,M
IJD,2020-12-01 07:22,0.00,M
IJD,2020-12-01 07:31,0.00,M
IJD,2020-12-01 07:52,0.00,M
IJD,2020-12-01 07:55,0.00,M
IJD,2020-12-01 08:43,0.00,M
IJD,2020-12-01 08:50,0.00,M
IJD,2020-12-01 08:52,0.00,M
IJD,2020-12-01 09:07,0.00,M
IJD,2020-12-01 09:52,0.00,M
IJD,2020-12-01 10:52,0.00,M
IJD,2020-12-01 11:52,0.00,M
IJD,2020-12-01 12:52,0.00,M
IJD,2020-12-01 13:52,0.00,M
IJD,2020-12-01 14:52,0.00,M
IJD,2020-12-01 15:06,T,M
IJD,2020-12-01 15:52,T,M
IJD,2020-12-01 16:52,0.00,M
IJD,2020-12-01 17:52,0.00,M
IJD,2020-12-01 18:52,0.00,M
IJD,2020-12-01 19:52,0.00,M
IJD,2020-12-01 20:52,0.00,M
IJD,2020-12-01 21:52,0.00,M
IJD,2020-12-01 22:52,0.00,M
IJD,2020-12-01 23:52,0.00,M
IJD,2020-12-02 00:52,0.00,M
IJD,2020-12-02 01:52,0.00,M
IJD,2020-12-02 02:52,0.00,M
IJD,2020-12-02 03:52,0.00,M
IJD,2020-12-02 04:52,0.00,M
IJD,2020-12-02 05:52,0.00,M
IJD,2020-12-02 06:52,0.00,M
