station,valid,p01m,wxcodes
OXC,2022-12-01 00:51,0.00,M
OXC,2022-12-01 01:51,0.00,M
OXC,2022-12-01 02:51,0.00,M
OXC,2022-12-01 03:51,0.00,M
OXC,2022-12-01 04:51,0.00,M
OXC,2022-12-01 05:51,0.00,M
OXC,2022-12-01 06:51,0.00,M
OXC,2022-12-01 07:51,0.00,M
OXC,2022-12-01 08:51,0.00,M
OXC,2022-12-01 09:51,0.00,M
OXC,2022-12-01 10:51,0.00,M
OXC,2022-12-01 11:51,T,-RA
OXC,2022-12-01 12:51,T,M
OXC,2022-12-01 13:51,0.00,M
OXC,2022-12-01 14:51,0.00,M
OXC,2022-12-01 15:51,0.00,M
OXC,2022-12-01 16:51,0.00,M
OXC,2022-12-01 17:51,0.00,M
OXC,2022-12-01 18:51,0.00,M
OXC,2022-12-01 19:51,0.00,M
OXC,2022-12-01 20:51,0.00,M
OXC,2022-12-01 21:51,0.00,M
OXC,2022-12-01 22:51,0.00,M
OXC,2022-12-01 23:51,0.00,M
OXC,2022-12-02 00:51,0.00,M
OXC,2022-12-02 01:51,0.00,M
OXC,2022-12-02 02:51,0.00,M
OXC,2022-12-02 03:51,0.00,M
OXC,2022-12-02 04:51,0.00,M
OXC,2022-12-02 05:51,0.00,M
OXC,2022-12-02 06:51,0.00,M
OXC,2022-12-02 07:51,0.00,M
OXC,2022-12-02 08:51,0.00,M
OXC,2022-12-02 09:51,0.00,M
OXC,2022-12-02 10:51,0.00,M
OXC,2022-12-02 11:51,0.00,M
OXC,2022-12-02 12:51,0.00,M
OXC,2022-12-02 13:51,0.00,M
OXC,2022-12-02 14:51,0.00,M
OXC,2022-12-02 15:51,0.00,M
OXC,2022-12-02 16:51,0.00,M
OXC,2022-12-02 17:51,0.00,M
OXC,2022-12-02 18:51,0.00,M
OXC,2022-12-02 19:51,0.00,M
OXC,2022-12-02 20:51,0.00,M
OXC,2022-12-02 21:51,0.00,M
OXC,2022-12-02 22:51,0.00,M
OXC,2022-12-02 23:51,0.00,M
OXC,2022-12-03 00:51,0.00,M
OXC,2022-12-03 01:51,0.00,M
OXC,2022-12-03 02:51,0.00,M
OXC,2022-12-03 03:51,0.00,M
OXC,2022-12-03 04:51,0.00,M
OXC,2022-12-03 05:51,0.00,M
OXC,2022-12-03 06:07,0.00,M
OXC,2022-12-03 06:16,0.00,M
