station,valid,p01m,wxcodes
AFN,2020-12-01 15:52,0.00,M
AFN,2020-12-01 16:52,0.00,M
AFN,2020-12-01 17:52,0.00,M
AFN,2020-12-01 18:52,0.00,M
AFN,2020-12-01 19:52,0.00,M
AFN,2020-12-01 20:52,0.00,M
AFN,2020-12-01 21:52,0.00,M
AFN,2020-12-01 22:52,0.00,M
AFN,2020-12-01 23:52,0.00,M
AFN,2020-12-02 00:52,0.00,M
AFN,2020-12-02 01:52,0.00,M
AFN,2020-12-02 02:52,0.00,M
AFN,2020-12-02 03:52,0.00,M
AFN,2020-12-02 04:52,0.00,M
AFN,2020-12-02 05:52,0.00,M
AFN,2020-12-02 06:52,0.00,M
AFN,2020-12-02 07:52,0.00,M
AFN,2020-12-02 08:52,0.00,M
AFN,2020-12-02 09:52,0.00,M
AFN,2020-12-02 10:52,0.00,M
AFN,2020-12-02 11:52,0.00,M
AFN,2020-12-02 12:52,0.00,M
AFN,2020-12-02 13:52,0.00,M
AFN,2020-12-02 14:52,0.00,M
AFN,2020-12-02 15:43,0.00,M
AFN,2020-12-02 15:52,0.00,M
AFN,2020-12-02 16:52,0.00,M
AFN,2020-12-02 17:13,0.00,M
AFN,2020-12-02 17:52,0.00,M
AFN,2020-12-02 18:52,0.00,M
AFN,2020-12-02 19:52,T,M
AFN,2020-12-02 20:52,0.00,M
AFN,2020-12-02 21:52,0.00,M
AFN,2020-12-02 22:52,0.00,M
AFN,2020-12-02 23:38,0.00,M
AFN,2020-12-02 23:52,0.00,M
AFN,2020-12-03 00:52,0.00,M
AFN,2020-12-03 01:52,0.00,M
AFN,2020-12-03 02:52,0.00,M
AFN,2020-12-03 03:52,0.00,M
AFN,2020-12-03 04:17,0.00,M
AFN,2020-12-03 04:52,0.00,M
AFN,2020-12-03 05:52,0.00,M
AFN,2020-12-03 06:52,0.00,M
AFN,2020-12-03 07:52,0.00,M
AFN,2020-12-03 08:52,0.00,M
AFN,2020-12-03 09:52,0.00,M
AFN,2020-12-03 10:52,0.00,M
AFN,2020-12-03 11:52,0.00,M
AFN,2020-12-03 12:52,0.00,M
AFN,2020-12-03 13:52,0.00,M
AFN,2020-12-03 14:52,0.00,M
AFN,2020-12-03 15:52,0.00,M
AFN,2020-12-03 16:52,0.00,M
AFN,2020-12-03 17:52,0.00,M
AFN,2020-12-03 18:52,0.00,M
AFN,2020-12-03 19:52,0.00,M
AFN,2020-12-03 20:52,0.00,M
AFN,2020-12-03 21:52,0.00,M
AFN,2020-12-03 22:52,0.00,M
AFN,2020-12-03 23:52,0.00,M
AFN,2020-12-04 00:52,0.00,M
AFN,2020-12-04 01:52,0.00,M
AFN,2020-12-04 02:52,0.00,M
AFN,2020-12-04 03:52,0.00,M
AFN,2020-12-04 04:52,0.00,M
AFN,2020-12-04 05:52,0.00,M
AFN,2020-12-04 06:52,0.00,M
AFN,2020-12-04 07:52,0.00,M
AFN,2020-12-04 08:52,0.00,M
AFN,2020-12-04 09:52,0.00,M
AFN,2020-12-04 10:52,0.00,M
AFN,2020-12-04 11:52,0.00,M
AFN,2020-12-04 12:52,0.00,M
AFN,2020-12-04 13:52,0.00,M
AFN,2020-12-04 14:52,0.00,M
AFN,2020-12-04 15:52,0.00,M
AFN,2020-12-04 16:52,0.00,M
AFN,2020-12-04 17:52,0.00,M
AFN,2020-12-04 18:52,0.00,M
AFN,2020-12-04 19:52,0.00,M
AFN,2020-12-04 20:52,0.00,M
AFN,2020-12-04 21:52,0.00,M
AFN,2020-12-04 22:52,0.00,M
AFN,2020-12-04 23:52,0.00,M
AFN,2020-12-05 00:52,0.00,M
AFN,2020-12-05 01:52,0.00,M
AFN,2020-12-05 02:52,0.00,M
AFN,2020-12-05 03:52,0.00,M
AFN,2020-12-05 04:52,0.00,M
AFN,2020-12-05 05:52,0.00,M
AFN,2020-12-05 06:52,0.00,M
AFN,2020-12-05 07:52,0.00,M
AFN,2020-12-05 08:52,0.00,M
AFN,2020-12-05 09:52,0.00,M
AFN,2020-12-05 10:52,0.00,M
AFN,2020-12-05 11:13,0.25,-RA BR
AFN,2020-12-05 11:52,1.52,-RA BR
AFN,2020-12-05 12:28,1.02,-RA BR
AFN,2020-12-05 12:52,1.78,-RA BR
AFN,2020-12-05 13:21,0.76,-RA BR
AFN,2020-12-05 13:32,1.27,RA BR
AFN,2020-12-05 13:45,2.03,RA BR
AFN,2020-12-05 13:52,2.54,RA BR
AFN,2020-12-05 14:09,0.51,-SN BR
AFN,2020-12-05 14:13,0.76,-SN BR
AFN,2020-12-05 14:19,1.02,-SN BR
AFN,2020-12-05 14:31,1.52,-SN BR
AFN,2020-12-05 14:38,1.78,-SN BR
AFN,2020-12-05 14:52,2.03,-SN BR
AFN,2020-12-05 15:02,0.51,SN FG
AFN,2020-12-05 15:52,3.81,+SN FG
AFN,2020-12-05 16:52,2.79,+SN FG
AFN,2020-12-05 17:52,4.83,+SN FG
AFN,2020-12-05 18:18,1.52,+SN FG
AFN,2020-12-05 18:29,2.29,SN FG
AFN,2020-12-05 18:44,3.05,+SN FG
AFN,2020-12-05 18:52,3.56,+SN FG
AFN,2020-12-05 19:41,2.54,SN FG
AFN,2020-12-05 19:52,2.79,-SN BR
AFN,2020-12-05 20:12,0.76,-SN BR
AFN,2020-12-05 20:23,1.27,-SN BR
AFN,2020-12-05 20:32,1.52,-SN BR
AFN,2020-12-05 20:38,1.78,-SN BR
AFN,2020-12-05 20:52,2.29,-SN BR
AFN,2020-12-05 21:05,0.51,-SN BR
AFN,2020-12-05 21:13,1.02,-SN BR
AFN,2020-12-05 21:21,1.27,-SN BR
AFN,2020-12-05 21:52,2.79,-SN BR
AFN,2020-12-05 22:29,1.02,-SN BR
AFN,2020-12-05 22:52,1.27,-SN BR
AFN,2020-12-05 23:06,0.25,-SN BR
AFN,2020-12-05 23:52,0.76,-SN BR
AFN,2020-12-06 00:21,0.25,-SN BR
AFN,2020-12-06 00:41,0.51,-SN BR
AFN,2020-12-06 00:52,0.51,-SN BR
AFN,2020-12-06 01:10,0.25,-SN BR
AFN,2020-12-06 01:26,0.25,-SN BR
AFN,2020-12-06 01:42,0.25,-SN
AFN,2020-12-06 01:52,0.25,-SN
AFN,2020-12-06 02:20,0.25,-SN
AFN,2020-12-06 02:52,0.25,-SN
AFN,2020-12-06 03:07,T,-SN
AFN,2020-12-06 03:37,T,-SN
AFN,2020-12-06 03:52,T,-SN
AFN,2020-12-06 04:13,T,-SN
AFN,2020-12-06 04:25,T,-SN
AFN,2020-12-06 04:35,T,-SN
AFN,2020-12-06 04:42,T,HZ
AFN,2020-12-06 04:52,T,M
AFN,2020-12-06 05:52,T,-SN
AFN,2020-12-06 06:09,T,-SN
AFN,2020-12-06 06:23,T,-SN
AFN,2020-12-06 06:52,T,M
AFN,2020-12-06 07:21,0.00,M
AFN,2020-12-06 07:34,0.00,M
AFN,2020-12-06 07:52,0.00,M
AFN,2020-12-06 08:52,0.00,M
AFN,2020-12-06 09:52,0.00,M
AFN,2020-12-06 10:52,0.00,M
AFN,2020-12-06 11:52,0.00,M
AFN,2020-12-06 12:52,0.00,M
AFN,2020-12-06 13:04,0.00,M
AFN,2020-12-06 13:52,0.00,M
AFN,2020-12-06 14:52,0.00,M
AFN,2020-12-06 15:52,0.00,M
AFN,2020-12-06 16:52,0.00,M
AFN,2020-12-06 17:52,0.00,M
AFN,2020-12-06 18:52,0.00,M
AFN,2020-12-06 19:52,0.00,M
AFN,2020-12-06 20:52,0.00,M
AFN,2020-12-06 21:52,0.00,M
AFN,2020-12-06 22:52,0.00,M
AFN,2020-12-06 23:52,0.00,M
AFN,2020-12-07 00:52,0.00,M
AFN,2020-12-07 01:52,0.00,M
AFN,2020-12-07 02:52,0.00,M
AFN,2020-12-07 03:52,0.00,M
AFN,2020-12-07 04:52,0.00,M
AFN,2020-12-07 05:52,0.00,M
AFN,2020-12-07 06:52,0.00,M
AFN,2020-12-07 07:52,0.00,M
AFN,2020-12-07 08:52,0.00,M
AFN,2020-12-07 09:52,0.00,M
AFN,2020-12-07 10:52,0.00,M
AFN,2020-12-07 11:52,0.00,M
AFN,2020-12-07 12:52,0.00,M
AFN,2020-12-07 13:52,0.00,M
AFN,2020-12-07 14:35,0.00,M
AFN,2020-12-07 14:52,0.00,M
AFN,2020-12-07 15:52,0.00,M
AFN,2020-12-07 16:52,0.00,M
AFN,2020-12-07 17:52,0.00,M
AFN,2020-12-07 18:52,0.00,M
AFN,2020-12-07 19:52,0.00,M
AFN,2020-12-07 20:37,0.00,M
AFN,2020-12-07 20:50,0.00,M
AFN,2020-12-07 20:52,0.00,M
AFN,2020-12-07 21:52,0.00,M
AFN,2020-12-07 22:52,0.00,M
AFN,2020-12-07 23:52,0.00,M
AFN,2020-12-08 00:52,0.00,M
AFN,2020-12-08 01:52,0.00,M
AFN,2020-12-08 02:52,0.00,M
AFN,2020-12-08 03:52,0.00,M
AFN,2020-12-08 04:01,0.00,M
AFN,2020-12-08 04:52,0.00,M
AFN,2020-12-08 06:52,0.00,M
AFN,2020-12-08 07:12,0.00,M
AFN,2020-12-08 07:36,0.00,M
AFN,2020-12-08 07:52,0.00,M
AFN,2020-12-08 08:21,0.00,M
AFN,2020-12-08 08:52,0.00,M
AFN,2020-12-08 09:52,0.00,M
AFN,2020-12-08 10:27,0.00,M
AFN,2020-12-08 10:52,0.00,M
AFN,2020-12-08 11:52,0.00,M
AFN,2020-12-08 12:52,0.00,M
AFN,2020-12-08 13:52,0.00,M
AFN,2020-12-08 14:52,0.00,M
AFN,2020-12-08 15:52,0.00,M
AFN,2020-12-08 16:52,0.00,M
AFN,2020-12-08 17:52,0.00,M
AFN,2020-12-08 18:52,0.00,M
AFN,2020-12-08 19:52,0.00,M
AFN,2020-12-08 19:59,0.00,M
AFN,2020-12-08 20:41,0.00,M
AFN,2020-12-08 20:52,0.00,M
AFN,2020-12-08 21:52,0.00,M
AFN,2020-12-08 22:52,0.00,M
AFN,2020-12-08 23:52,0.00,M
AFN,2020-12-09 00:52,0.00,M
AFN,2020-12-09 01:52,0.00,M
AFN,2020-12-09 02:52,0.00,M
AFN,2020-12-09 03:52,0.00,M
AFN,2020-12-09 04:20,0.00,M
AFN,2020-12-09 04:30,0.00,M
AFN,2020-12-09 04:39,0.00,M
AFN,2020-12-09 04:52,0.00,M
AFN,2020-12-09 05:31,0.00,M
AFN,2020-12-09 05:52,0.00,M
AFN,2020-12-09 06:52,0.00,M
AFN,2020-12-09 07:52,0.00,M
AFN,2020-12-09 08:52,0.00,M
AFN,2020-12-09 09:52,0.00,M
AFN,2020-12-09 10:52,0.00,M
AFN,2020-12-09 11:52,0.00,M
AFN,2020-12-09 12:52,0.00,M
AFN,2020-12-09 13:52,0.00,M
AFN,2020-12-09 14:52,T,-SN
AFN,2020-12-09 14:56,T,-SN
AFN,2020-12-09 15:00,T,-SN
AFN,2020-12-09 15:06,T,-SN
AFN,2020-12-09 15:15,T,-SN BR
AFN,2020-12-09 15:25,T,-SN BR
AFN,2020-12-09 15:30,T,-SN BR
AFN,2020-12-09 15:52,T,-SN
AFN,2020-12-09 16:52,T,-SN BR
AFN,2020-12-09 17:31,T,-SN BR
AFN,2020-12-09 17:36,T,-SN BR
AFN,2020-12-09 17:52,T,-SN
AFN,2020-12-09 18:06,T,-SN BR
AFN,2020-12-09 18:18,T,-SN BR
AFN,2020-12-09 18:35,T,-SN
AFN,2020-12-09 18:44,T,-SN BR
AFN,2020-12-09 18:52,T,-SN BR
AFN,2020-12-09 19:20,0.25,-SN BR
AFN,2020-12-09 19:33,0.25,-SN BR
AFN,2020-12-09 19:44,0.25,-SN BR
AFN,2020-12-09 19:52,0.25,-SN BR
AFN,2020-12-09 20:17,T,-SN BR
AFN,2020-12-09 20:52,T,-SN
AFN,2020-12-09 21:26,T,-SN BR
AFN,2020-12-09 21:52,T,M
AFN,2020-12-09 22:02,0.00,M
AFN,2020-12-09 22:52,T,-SN
AFN,2020-12-09 22:59,T,M
AFN,2020-12-09 23:13,T,M
AFN,2020-12-09 23:52,T,M
AFN,2020-12-10 00:52,0.00,M
AFN,2020-12-10 01:52,0.00,M
AFN,2020-12-10 02:52,0.00,M
AFN,2020-12-10 03:52,0.00,M
AFN,2020-12-10 04:52,0.00,M
AFN,2020-12-10 05:52,0.00,M
AFN,2020-12-10 06:07,0.00,M
AFN,2020-12-10 06:35,0.00,M
AFN,2020-12-10 06:52,0.00,M
AFN,2020-12-10 07:45,0.00,M
AFN,2020-12-10 07:52,0.00,M
AFN,2020-12-10 08:52,0.00,M
AFN,2020-12-10 09:52,0.00,M
AFN,2020-12-10 10:52,0.00,M
AFN,2020-12-10 11:52,0.00,M
AFN,2020-12-10 12:09,0.00,M
AFN,2020-12-10 12:52,0.00,M
AFN,2020-12-10 13:52,0.00,M
AFN,2020-12-10 14:52,0.00,M
AFN,2020-12-10 15:07,0.00,M
AFN,2020-12-10 15:52,0.00,M
AFN,2020-12-10 16:52,0.00,M
AFN,2020-12-10 17:52,0.00,M
AFN,2020-12-10 18:52,0.00,M
AFN,2020-12-10 19:52,0.00,M
AFN,2020-12-10 20:52,0.00,M
AFN,2020-12-10 21:52,0.00,M
AFN,2020-12-10 22:52,0.00,M
AFN,2020-12-10 23:52,0.00,M
AFN,2020-12-11 00:52,0.00,M
AFN,2020-12-11 01:52,0.00,M
AFN,2020-12-11 02:52,0.00,M
AFN,2020-12-11 03:52,0.00,M
AFN,2020-12-11 04:52,0.00,M
AFN,2020-12-11 05:52,0.00,M
AFN,2020-12-11 06:52,0.00,M
AFN,2020-12-11 07:52,0.00,M
AFN,2020-12-11 08:52,0.00,M
AFN,2020-12-11 09:52,0.00,M
AFN,2020-12-11 10:52,0.00,M
AFN,2020-12-11 11:52,0.00,M
AFN,2020-12-11 12:52,0.00,M
AFN,2020-12-11 13:52,0.00,M
AFN,2020-12-11 14:52,0.00,M
AFN,2020-12-11 15:52,0.00,M
AFN,2020-12-11 16:52,0.00,M
AFN,2020-12-11 17:52,0.00,M
AFN,2020-12-11 18:52,0.00,M
AFN,2020-12-11 19:52,0.00,M
AFN,2020-12-11 20:52,0.00,M
AFN,2020-12-11 21:52,0.00,M
AFN,2020-12-11 22:52,0.00,M
AFN,2020-12-11 23:52,0.00,BR
AFN,2020-12-12 00:52,0.00,BR
AFN,2020-12-12 01:52,0.00,BR
AFN,2020-12-12 02:19,0.00,BR
AFN,2020-12-12 02:49,0.00,BR
AFN,2020-12-12 02:52,0.00,BR
AFN,2020-12-12 03:01,0.00,BR
AFN,2020-12-12 03:22,0.00,BR
AFN,2020-12-12 03:52,0.00,BR
AFN,2020-12-12 04:08,0.00,BR
AFN,2020-12-12 04:30,0.00,BR
AFN,2020-12-12 04:41,0.00,BR
AFN,2020-12-12 04:50,0.00,BR
AFN,2020-12-12 04:52,0.00,BR
AFN,2020-12-12 05:33,0.00,BR
AFN,2020-12-12 05:52,0.00,BR
AFN,2020-12-12 05:56,0.00,BR
AFN,2020-12-12 06:00,0.00,BR
AFN,2020-12-12 06:52,0.00,FZFG
AFN,2020-12-12 07:52,0.00,FZFG
AFN,2020-12-12 08:52,0.00,FZFG
AFN,2020-12-12 09:52,0.00,FZFG
AFN,2020-12-12 10:52,0.00,FZFG
AFN,2020-12-12 11:52,0.00,FG
AFN,2020-12-12 12:52,0.00,FG
AFN,2020-12-12 13:52,0.00,FG
AFN,2020-12-12 14:52,0.00,FG
AFN,2020-12-12 15:18,0.00,BR
AFN,2020-12-12 15:27,0.00,BR
AFN,2020-12-12 15:52,0.00,BR
AFN,2020-12-12 16:00,0.00,BR
AFN,2020-12-12 16:38,0.00,BR
AFN,2020-12-12 16:49,0.00,BR
AFN,2020-12-12 16:52,0.00,BR
AFN,2020-12-12 16:59,0.00,BR
AFN,2020-12-12 17:31,0.00,BR
AFN,2020-12-12 17:52,0.00,BR
AFN,2020-12-12 18:20,T,-RA BR
AFN,2020-12-12 18:30,T,BR
AFN,2020-12-12 18:49,T,BR
AFN,2020-12-12 18:52,T,BR
AFN,2020-12-12 19:00,0.00,BR
AFN,2020-12-12 19:10,0.00,BR
AFN,2020-12-12 19:22,0.00,BR
AFN,2020-12-12 19:27,0.00,BR
AFN,2020-12-12 19:47,0.00,BR
AFN,2020-12-12 19:52,0.00,BR
AFN,2020-12-12 20:02,0.00,BR
AFN,2020-12-12 20:20,0.00,BR
AFN,2020-12-12 20:32,0.00,BR
AFN,2020-12-12 20:43,0.00,BR
AFN,2020-12-12 20:52,0.00,BR
AFN,2020-12-12 21:04,0.00,BR
AFN,2020-12-12 21:16,0.00,BR
AFN,2020-12-12 21:52,0.25,-RA BR
AFN,2020-12-12 22:52,0.51,-RA BR
AFN,2020-12-12 23:52,0.51,-RA BR
