station,valid,p01m,wxcodes
CON,2022-12-01 00:19,2.54,-RA BR
CON,2022-12-01 00:24,2.54,-RA
CON,2022-12-01 00:51,2.54,M
CON,2022-12-01 01:51,0.00,M
CON,2022-12-01 02:51,0.00,M
CON,2022-12-01 03:51,0.00,M
CON,2022-12-01 04:51,0.00,M
CON,2022-12-01 05:51,0.00,M
CON,2022-12-01 06:51,0.00,M
CON,2022-12-01 07:51,0.00,M
CON,2022-12-01 08:51,0.00,M
CON,2022-12-01 09:51,0.00,M
CON,2022-12-01 10:51,0.00,M
CON,2022-12-01 11:51,0.00,M
CON,2022-12-01 12:51,0.00,M
CON,2022-12-01 13:51,0.00,M
CON,2022-12-01 14:51,0.00,M
CON,2022-12-01 15:51,0.00,M
CON,2022-12-01 16:51,0.00,M
CON,2022-12-01 17:51,0.00,M
CON,2022-12-01 18:51,T,M
CON,2022-12-01 19:51,T,M
CON,2022-12-01 20:51,0.00,M
CON,2022-12-01 21:51,0.00,M
CON,2022-12-01 22:51,0.00,M
CON,2022-12-01 23:51,0.00,M
CON,2022-12-02 00:51,0.00,M
CON,2022-12-02 01:51,0.00,M
CON,2022-12-02 02:51,0.00,M
CON,2022-12-02 03:51,0.00,M
CON,2022-12-02 04:51,0.00,M
CON,2022-12-02 05:51,0.00,M
CON,2022-12-02 06:51,0.00,M
CON,2022-12-02 07:51,0.00,M
CON,2022-12-02 08:51,0.00,M
CON,2022-12-02 09:51,0.00,M
CON,2022-12-02 10:51,0.00,M
CON,2022-12-02 11:51,0.00,M
CON,2022-12-02 12:51,0.00,M
CON,2022-12-02 13:51,0.00,M
CON,2022-12-02 14:51,0.00,M
CON,2022-12-02 15:51,0.00,M
CON,2022-12-02 16:51,0.00,M
CON,2022-12-02 17:51,0.00,M
CON,2022-12-02 18:51,0.00,M
CON,2022-12-02 19:51,0.00,M
CON,2022-12-02 20:51,0.00,M
CON,2022-12-02 21:51,0.00,M
CON,2022-12-02 22:51,0.00,M
CON,2022-12-02 23:51,0.00,M
CON,2022-12-03 00:51,0.00,M
CON,2022-12-03 01:51,0.00,M
CON,2022-12-03 02:51,0.00,M
CON,2022-12-03 03:51,0.00,M
CON,2022-12-03 04:51,0.00,M
CON,2022-12-03 05:51,0.00,M
CON,2022-12-03 06:51,0.00,M
CON,2022-12-03 07:51,0.00,M
CON,2022-12-03 08:51,T,M
CON,2022-12-03 09:51,0.00,M
CON,2022-12-03 10:51,0.00,M
CON,2022-12-03 11:51,0.00,M
CON,2022-12-03 12:05,0.00,M
CON,2022-12-03 12:51,0.00,M
CON,2022-12-03 13:04,0.00,M
CON,2022-12-03 13:19,0.00,BR
CON,2022-12-03 13:51,0.00,BR
CON,2022-12-03 14:51,0.25,-RA BR
CON,2022-12-03 15:13,0.51,-RA BR
CON,2022-12-03 15:51,0.76,-RA BR
CON,2022-12-03 16:23,1.02,-RA BR
CON,2022-12-03 16:51,1.52,-RA BR
CON,2022-12-03 17:03,0.51,-RA BR
CON,2022-12-03 17:51,1.52,-RA
CON,2022-12-03 18:09,0.25,-RA BR
CON,2022-12-03 18:28,0.51,-RA BR
CON,2022-12-03 18:38,0.76,-RA BR
CON,2022-12-03 18:51,1.27,-RA
CON,2022-12-03 19:51,0.51,M
CON,2022-12-03 20:05,0.00,M
CON,2022-12-03 20:51,0.00,M
CON,2022-12-03 21:26,0.00,M
CON,2022-12-03 21:51,0.00,M
CON,2022-12-03 22:35,0.00,M
CON,2022-12-03 22:51,0.00,M
