station,valid,p01m,wxcodes
DAW,2020-12-01 00:18,1.78,RA BR
DAW,2020-12-01 00:47,3.30,-RA BR
DAW,2020-12-01 00:51,3.30,RA BR
DAW,2020-12-01 00:59,0.76,RA BR
DAW,2020-12-01 01:10,1.02,-RA BR
DAW,2020-12-01 01:44,2.29,RA BR
DAW,2020-12-01 01:51,2.29,-RA BR
DAW,2020-12-01 02:30,3.05,+RA BR
DAW,2020-12-01 02:39,3.81,RA BR
DAW,2020-12-01 02:51,5.08,+RA BR
DAW,2020-12-01 03:04,0.76,-RA BR
DAW,2020-12-01 03:48,1.27,-RA BR
DAW,2020-12-01 03:51,1.27,-RA BR
DAW,2020-12-01 04:30,1.02,RA BR
DAW,2020-12-01 04:41,1.27,-RA BR
DAW,2020-12-01 04:51,1.27,-RA
DAW,2020-12-01 05:51,1.02,-RA BR
DAW,2020-12-01 06:24,2.03,RA BR
DAW,2020-12-01 06:32,2.03,-RA BR
DAW,2020-12-01 06:51,2.54,-RA BR
DAW,2020-12-01 07:48,1.52,RA BR
DAW,2020-12-01 07:51,1.78,RA BR
DAW,2020-12-01 08:51,0.25,-RA BR
DAW,2020-12-01 09:51,T,BR
DAW,2020-12-01 10:41,0.00,BR
DAW,2020-12-01 10:51,0.00,BR
DAW,2020-12-01 11:35,0.00,BR
DAW,2020-12-01 11:51,0.00,FG
DAW,2020-12-01 12:17,0.00,FG
DAW,2020-12-01 12:51,0.00,FG
DAW,2020-12-01 13:51,0.00,FG
DAW,2020-12-01 14:51,0.00,FG
DAW,2020-12-01 15:51,0.00,FG
DAW,2020-12-01 16:51,0.00,FG
DAW,2020-12-01 17:51,0.00,FG
DAW,2020-12-01 18:51,0.00,FG
DAW,2020-12-01 19:00,0.00,FG
DAW,2020-12-01 19:08,0.00,FG
DAW,2020-12-01 19:21,0.00,FG
DAW,2020-12-01 19:28,0.00,BR
DAW,2020-12-01 19:36,0.00,BR
DAW,2020-12-01 19:51,0.00,M
DAW,2020-12-01 20:51,0.00,M
DAW,2020-12-01 21:51,0.00,M
DAW,2020-12-01 22:51,0.00,M
DAW,2020-12-01 23:51,0.00,M
DAW,2020-12-02 00:51,0.00,M
DAW,2020-12-02 01:51,0.00,M
DAW,2020-12-02 02:51,0.00,M
DAW,2020-12-02 03:51,0.00,M
DAW,2020-12-02 04:51,0.00,M
DAW,2020-12-02 05:51,0.00,M
DAW,2020-12-02 06:51,0.00,M
DAW,2020-12-02 07:51,0.00,M
DAW,2020-12-02 08:51,0.00,M
DAW,2020-12-02 09:51,0.00,M
DAW,2020-12-02 10:51,0.00,M
DAW,2020-12-02 11:51,0.00,M
DAW,2020-12-02 12:51,0.00,M
DAW,2020-12-02 13:51,0.00,M
DAW,2020-12-02 14:51,0.00,M
DAW,2020-12-02 15:51,0.00,M
DAW,2020-12-02 16:51,0.00,M
DAW,2020-12-02 17:51,0.00,M
DAW,2020-12-02 18:51,0.00,M
DAW,2020-12-02 19:51,0.00,M
DAW,2020-12-02 20:51,0.00,M
DAW,2020-12-02 21:51,0.00,M
DAW,2020-12-02 22:51,0.00,M
DAW,2020-12-02 23:51,0.00,M
DAW,2020-12-03 00:51,0.00,M
DAW,2020-12-03 01:51,0.00,M
DAW,2020-12-03 02:51,0.00,M
DAW,2020-12-03 03:51,0.00,M
DAW,2020-12-03 04:51,0.00,M
DAW,2020-12-03 05:51,0.00,M
DAW,2020-12-03 06:51,0.00,M
DAW,2020-12-03 07:51,0.00,M
DAW,2020-12-03 08:51,0.00,M
DAW,2020-12-03 09:51,0.00,M
DAW,2020-12-03 10:51,0.00,M
DAW,2020-12-03 11:51,0.00,M
DAW,2020-12-03 12:51,0.00,M
DAW,2020-12-03 13:51,0.00,M
DAW,2020-12-03 14:51,0.00,M
