station,valid,p01m,wxcodes
EEN,2022-12-01 00:56,T,-RA
EEN,2022-12-01 01:56,T,M
EEN,2022-12-01 02:56,0.00,M
EEN,2022-12-01 03:56,0.00,M
EEN,2022-12-01 04:56,0.00,M
EEN,2022-12-01 05:56,0.00,M
EEN,2022-12-01 06:56,0.00,M
EEN,2022-12-01 07:56,0.00,M
EEN,2022-12-01 08:56,0.00,M
EEN,2022-12-01 09:56,0.00,M
EEN,2022-12-01 10:56,0.00,M
EEN,2022-12-01 11:56,0.00,M
EEN,2022-12-01 12:56,0.00,M
EEN,2022-12-01 13:56,0.00,M
EEN,2022-12-01 14:56,0.00,M
EEN,2022-12-01 15:56,0.00,M
EEN,2022-12-01 16:56,0.00,M
EEN,2022-12-01 17:56,0.00,M
EEN,2022-12-01 18:56,0.00,M
EEN,2022-12-01 19:56,T,-RA
EEN,2022-12-01 20:56,T,-RA
EEN,2022-12-01 21:56,T,M
EEN,2022-12-01 22:56,0.00,M
EEN,2022-12-01 23:56,0.00,M
EEN,2022-12-02 00:56,0.00,M
EEN,2022-12-02 01:56,0.00,M
EEN,2022-12-02 02:56,0.00,M
EEN,2022-12-02 03:56,0.00,M
EEN,2022-12-02 04:56,0.00,M
EEN,2022-12-02 05:56,0.00,M
EEN,2022-12-02 06:56,0.00,M
EEN,2022-12-02 07:56,0.00,M
EEN,2022-12-02 08:56,0.00,M
EEN,2022-12-02 09:56,0.00,M
EEN,2022-12-02 10:56,0.00,M
EEN,2022-12-02 11:56,0.00,M
EEN,2022-12-02 12:56,0.00,M
EEN,2022-12-02 13:56,0.00,M
EEN,2022-12-02 14:56,0.00,M
EEN,2022-12-02 15:56,0.00,M
EEN,2022-12-02 16:56,0.00,M
EEN,2022-12-02 17:56,0.00,M
EEN,2022-12-02 18:56,0.00,M
EEN,2022-12-02 19:56,0.00,M
EEN,2022-12-02 20:56,0.00,M
EEN,2022-12-02 21:56,0.00,M
EEN,2022-12-02 22:56,0.00,M
EEN,2022-12-02 23:56,0.00,M
EEN,2022-12-03 00:56,0.00,M
EEN,2022-12-03 01:56,0.00,M
EEN,2022-12-03 02:56,0.00,M
EEN,2022-12-03 03:56,0.00,M
EEN,2022-12-03 04:56,0.00,M
EEN,2022-12-03 05:56,0.00,M
EEN,2022-12-03 06:56,T,M
EEN,2022-12-03 07:56,T,M
EEN,2022-12-03 08:20,0.00,M
EEN,2022-12-03 08:56,0.00,M
EEN,2022-12-03 09:56,0.00,M
EEN,2022-12-03 10:56,0.00,M
EEN,2022-12-03 11:56,0.00,M
EEN,2022-12-03 12:14,0.00,M
EEN,2022-12-03 12:56,T,-RA BR
EEN,2022-12-03 13:17,T,-RA BR
EEN,2022-12-03 13:35,T,-RA BR
EEN,2022-12-03 13:42,0.25,-RA
EEN,2022-12-03 13:56,0.25,-RA
EEN,2022-12-03 14:56,1.27,-RA
EEN,2022-12-03 15:56,1.27,RA
EEN,2022-12-03 16:45,2.03,RA
EEN,2022-12-03 16:56,2.29,RA
EEN,2022-12-03 17:56,2.03,RA
EEN,2022-12-03 18:56,1.52,-RA
EEN,2022-12-03 19:56,T,M
EEN,2022-12-03 20:05,0.00,M
EEN,2022-12-03 20:16,0.00,M
EEN,2022-12-03 20:56,0.00,M
EEN,2022-12-03 21:56,T,-RA
EEN,2022-12-03 22:36,1.02,RA
EEN,2022-12-03 22:56,1.02,-RA
EEN,2022-12-03 23:35,0.25,M
EEN,2022-12-03 23:56,0.25,M
EEN,2022-12-04 00:56,0.00,M
EEN,2022-12-04 01:56,0.00,M
EEN,2022-12-04 02:56,0.00,M
EEN,2022-12-04 03:56,0.00,M
EEN,2022-12-04 04:56,0.00,M
EEN,2022-12-04 05:56,0.00,M
EEN,2022-12-04 06:56,0.00,M
EEN,2022-12-04 07:56,0.00,M
EEN,2022-12-04 08:56,0.00,M
EEN,2022-12-04 09:56,0.00,M
EEN,2022-12-04 10:56,0.00,M
EEN,2022-12-04 11:56,0.00,M
EEN,2022-12-04 12:56,0.00,M
EEN,2022-12-04 13:56,0.00,M
EEN,2022-12-04 14:56,0.00,M
EEN,2022-12-04 15:56,0.00,M
EEN,2022-12-04 16:56,0.00,M
EEN,2022-12-04 17:56,0.00,M
EEN,2022-12-04 18:56,0.00,M
EEN,2022-12-04 19:56,0.00,M
EEN,2022-12-04 20:56,T,M
EEN,2022-12-04 21:56,0.00,M
EEN,2022-12-04 22:56,0.00,M
EEN,2022-12-04 23:56,0.00,M
EEN,2022-12-05 00:56,0.00,M
EEN,2022-12-05 01:56,0.00,M
EEN,2022-12-05 02:56,0.00,M
EEN,2022-12-05 03:56,0.00,M
EEN,2022-12-05 04:56,0.00,M
EEN,2022-12-05 05:56,0.00,M
EEN,2022-12-05 06:56,0.00,M
EEN,2022-12-05 07:56,0.00,M
EEN,2022-12-05 08:56,0.00,M
EEN,2022-12-05 09:56,0.00,M
EEN,2022-12-05 10:56,0.00,M
EEN,2022-12-05 11:56,0.00,M
EEN,2022-12-05 12:56,0.00,M
EEN,2022-12-05 13:56,0.00,M
EEN,2022-12-05 14:56,0.00,M
EEN,2022-12-05 15:56,0.00,M
EEN,2022-12-05 16:56,0.00,M
EEN,2022-12-05 17:56,0.00,M
EEN,2022-12-05 18:56,0.00,M
EEN,2022-12-05 19:56,0.00,M
EEN,2022-12-05 20:56,0.00,M
EEN,2022-12-05 21:56,0.00,M
EEN,2022-12-05 22:56,0.00,M
EEN,2022-12-05 23:56,0.00,M
EEN,2022-12-06 00:56,0.00,M
EEN,2022-12-06 01:56,0.00,M
EEN,2022-12-06 02:56,0.00,M
EEN,2022-12-06 03:56,0.00,M
