station,valid,p01m,wxcodes
HIE,2020-12-01 00:52,1.27,-RA
HIE,2020-12-01 01:52,0.76,-RA
HIE,2020-12-01 02:52,3.81,-RA BR
HIE,2020-12-01 03:52,1.02,-RA
HIE,2020-12-01 04:52,T,M
HIE,2020-12-01 05:52,0.00,M
HIE,2020-12-01 06:52,0.00,M
HIE,2020-12-01 07:52,0.00,M
HIE,2020-12-01 08:52,0.00,M
HIE,2020-12-01 09:52,0.00,M
HIE,2020-12-01 10:52,0.00,M
HIE,2020-12-01 11:52,0.00,M
HIE,2020-12-01 12:52,0.00,M
HIE,2020-12-01 13:52,0.00,M
HIE,2020-12-01 14:52,0.00,M
HIE,2020-12-01 15:52,0.00,M
HIE,2020-12-01 16:52,0.00,M
HIE,2020-12-01 17:52,0.00,M
HIE,2020-12-01 18:52,0.00,M
HIE,2020-12-01 19:52,0.00,M
HIE,2020-12-01 20:52,0.00,M
HIE,2020-12-01 21:52,T,M
HIE,2020-12-01 22:52,0.00,M
HIE,2020-12-01 23:52,0.00,M
HIE,2020-12-02 00:52,0.00,M
HIE,2020-12-02 01:52,0.00,M
HIE,2020-12-02 02:52,0.00,M
HIE,2020-12-02 03:52,T,M
HIE,2020-12-02 04:52,0.00,M
HIE,2020-12-02 05:52,0.00,M
HIE,2020-12-02 06:52,0.00,M
HIE,2020-12-02 07:52,0.00,M
HIE,2020-12-02 08:52,0.00,M
HIE,2020-12-02 09:52,0.00,M
HIE,2020-12-02 10:52,0.00,M
HIE,2020-12-02 11:52,0.00,M
HIE,2020-12-02 12:52,0.00,M
HIE,2020-12-02 13:52,0.00,M
HIE,2020-12-02 14:52,0.00,M
HIE,2020-12-02 15:52,0.00,M
HIE,2020-12-02 16:52,0.00,M
HIE,2020-12-02 17:52,0.00,M
HIE,2020-12-02 18:52,0.00,M
HIE,2020-12-02 19:45,T,-SN
HIE,2020-12-02 19:52,T,-SN
HIE,2020-12-02 20:52,T,-SN BR
HIE,2020-12-02 21:01,T,-SN BR
HIE,2020-12-02 21:11,T,-SN
HIE,2020-12-02 21:37,T,-SN BR
HIE,2020-12-02 21:48,T,-SN BR
HIE,2020-12-02 21:52,T,-SN BR
HIE,2020-12-02 22:07,T,-SN
HIE,2020-12-02 22:52,T,M
HIE,2020-12-02 23:52,0.00,M
HIE,2020-12-03 00:52,0.00,M
HIE,2020-12-03 01:01,T,-SN
HIE,2020-12-03 01:04,T,-SN
HIE,2020-12-03 01:52,T,M
HIE,2020-12-03 02:52,0.00,M
HIE,2020-12-03 03:52,0.00,M
HIE,2020-12-03 04:52,0.00,M
HIE,2020-12-03 05:32,0.00,M
HIE,2020-12-03 05:52,0.00,M
HIE,2020-12-03 06:20,0.00,M
HIE,2020-12-03 06:52,0.00,M
HIE,2020-12-03 07:52,0.00,M
HIE,2020-12-03 08:52,0.00,M
HIE,2020-12-03 09:52,0.00,M
HIE,2020-12-03 10:52,0.00,M
HIE,2020-12-03 11:52,0.00,M
HIE,2020-12-03 12:52,0.00,M
HIE,2020-12-03 13:52,0.00,M
HIE,2020-12-03 14:52,0.00,M
HIE,2020-12-03 15:52,0.00,M
HIE,2020-12-03 16:52,0.00,M
HIE,2020-12-03 17:52,0.00,M
HIE,2020-12-03 18:52,0.00,M
HIE,2020-12-03 19:52,0.00,M
HIE,2020-12-03 20:52,0.00,M
HIE,2020-12-03 21:52,0.00,M
HIE,2020-12-03 22:52,0.00,M
HIE,2020-12-03 23:52,0.00,M
HIE,2020-12-04 00:52,0.00,M
HIE,2020-12-04 01:52,0.00,M
