station,valid,p01m,wxcodes
LCI,2021-12-01 00:56,0.00,M
LCI,2021-12-01 01:56,T,UP
LCI,2021-12-01 02:56,T,-SN BR
LCI,2021-12-01 03:56,T,M
LCI,2021-12-01 04:56,0.00,M
LCI,2021-12-01 05:56,T,-SN
LCI,2021-12-01 06:56,T,M
LCI,2021-12-01 07:56,0.00,M
LCI,2021-12-01 08:56,0.00,M
LCI,2021-12-01 09:56,0.00,M
LCI,2021-12-01 10:56,0.00,M
LCI,2021-12-01 11:38,0.00,M
LCI,2021-12-01 11:56,0.00,M
LCI,2021-12-01 12:56,0.00,M
LCI,2021-12-01 13:56,0.00,M
LCI,2021-12-01 14:56,0.00,M
LCI,2021-12-01 15:56,0.00,M
LCI,2021-12-01 16:56,0.00,M
LCI,2021-12-01 17:56,0.00,M
LCI,2021-12-01 18:56,0.00,M
LCI,2021-12-01 19:56,0.00,M
LCI,2021-12-01 20:56,0.00,M
LCI,2021-12-01 21:56,0.00,M
LCI,2021-12-01 22:56,0.00,M
LCI,2021-12-01 23:56,0.00,M
LCI,2021-12-02 00:56,0.00,M
LCI,2021-12-02 01:56,0.00,M
LCI,2021-12-02 02:56,0.00,M
LCI,2021-12-02 03:56,0.00,M
LCI,2021-12-02 04:56,0.00,M
LCI,2021-12-02 05:56,0.00,M
LCI,2021-12-02 06:56,0.00,M
LCI,2021-12-02 07:56,0.00,M
LCI,2021-12-02 08:56,T,-SN BR
LCI,2021-12-02 09:25,T,-SN BR
LCI,2021-12-02 09:56,T,-SN BR
LCI,2021-12-02 10:00,T,-SN BR
LCI,2021-12-02 10:20,0.51,-SN BR
LCI,2021-12-02 10:33,0.51,-SN BR
LCI,2021-12-02 10:56,1.02,-SN BR
LCI,2021-12-02 11:56,0.76,-SN BR
LCI,2021-12-02 12:04,T,-SN BR
LCI,2021-12-02 12:08,T,-SN BR
LCI,2021-12-02 12:25,0.76,-SN BR
LCI,2021-12-02 12:56,2.54,-RA BR
LCI,2021-12-02 13:24,0.51,-RA BR
LCI,2021-12-02 13:56,1.27,-RA BR
LCI,2021-12-02 14:07,T,-RA BR
LCI,2021-12-02 14:56,0.25,UP BR
LCI,2021-12-02 15:40,0.51,-RA BR
LCI,2021-12-02 15:56,0.51,-RA BR
LCI,2021-12-02 16:12,T,UP BR
LCI,2021-12-02 16:37,0.25,BR
LCI,2021-12-02 16:46,0.25,BR
LCI,2021-12-02 16:56,0.25,BR
LCI,2021-12-02 17:16,0.00,BR
LCI,2021-12-02 17:21,0.00,BR
LCI,2021-12-02 17:46,0.00,BR
LCI,2021-12-02 17:53,0.00,BR
LCI,2021-12-02 17:56,0.00,BR
LCI,2021-12-02 18:19,0.00,FG
LCI,2021-12-02 18:56,0.00,FG
LCI,2021-12-02 19:15,0.00,FG
LCI,2021-12-02 19:56,T,FG
LCI,2021-12-02 20:56,T,-RA FG
LCI,2021-12-02 21:56,T,FG
LCI,2021-12-02 22:29,T,BR
LCI,2021-12-02 22:34,T,BR
LCI,2021-12-02 22:38,T,BR
LCI,2021-12-02 22:56,T,BR
LCI,2021-12-02 23:35,0.00,BR
LCI,2021-12-02 23:56,0.00,BR
LCI,2021-12-03 00:52,0.00,BR
LCI,2021-12-03 00:56,0.00,BR
LCI,2021-12-03 01:08,T,-RA BR
LCI,2021-12-03 01:18,T,-RA BR
LCI,2021-12-03 01:39,0.25,-RA
LCI,2021-12-03 01:56,0.25,M
LCI,2021-12-03 02:56,0.25,M
LCI,2021-12-03 03:56,0.00,M
LCI,2021-12-03 04:56,0.00,M
LCI,2021-12-03 05:56,0.00,M
