station,valid,p01m,wxcodes
LEB,2020-12-01 00:53,1.52,-RA
LEB,2020-12-01 01:22,1.78,-RA
LEB,2020-12-01 01:33,2.54,RA BR
LEB,2020-12-01 01:44,3.05,-RA BR
LEB,2020-12-01 01:53,3.30,-RA BR
LEB,2020-12-01 02:01,0.51,-RA BR
LEB,2020-12-01 02:10,0.76,-RA BR
LEB,2020-12-01 02:31,1.02,-RA BR
LEB,2020-12-01 02:44,1.02,FG
LEB,2020-12-01 02:46,1.02,FG
LEB,2020-12-01 02:53,1.02,FG
LEB,2020-12-01 03:03,0.00,FG
LEB,2020-12-01 03:12,T,-RA BR
LEB,2020-12-01 03:19,T,BR
LEB,2020-12-01 03:31,T,BR
LEB,2020-12-01 03:36,T,BR
LEB,2020-12-01 03:53,T,-RA BR
LEB,2020-12-01 04:39,T,M
LEB,2020-12-01 04:49,T,M
LEB,2020-12-01 04:53,T,M
LEB,2020-12-01 05:39,0.00,M
LEB,2020-12-01 05:48,0.00,M
LEB,2020-12-01 05:53,0.00,M
LEB,2020-12-01 06:53,0.00,M
LEB,2020-12-01 07:03,0.00,M
LEB,2020-12-01 07:30,T,-RA
LEB,2020-12-01 07:53,T,M
LEB,2020-12-01 08:53,0.00,M
LEB,2020-12-01 09:53,0.00,M
LEB,2020-12-01 10:53,0.00,M
LEB,2020-12-01 11:53,0.00,M
LEB,2020-12-01 12:53,0.00,M
LEB,2020-12-01 13:53,0.00,M
LEB,2020-12-01 14:53,0.00,M
LEB,2020-12-01 15:53,0.00,M
LEB,2020-12-01 16:53,0.00,M
LEB,2020-12-01 17:53,0.00,M
LEB,2020-12-01 18:53,T,-RA
LEB,2020-12-01 19:53,0.25,M
LEB,2020-12-01 20:53,T,M
LEB,2020-12-01 21:53,0.00,M
LEB,2020-12-01 22:53,T,-RA
LEB,2020-12-01 23:53,0.25,-RA
LEB,2020-12-02 00:53,T,M
LEB,2020-12-02 01:53,0.00,M
LEB,2020-12-02 02:53,T,M
LEB,2020-12-02 03:53,0.00,M
LEB,2020-12-02 04:53,0.00,M
LEB,2020-12-02 05:53,0.00,M
LEB,2020-12-02 06:53,0.00,M
LEB,2020-12-02 07:53,0.00,M
LEB,2020-12-02 08:53,0.00,M
LEB,2020-12-02 09:53,0.00,M
LEB,2020-12-02 10:53,0.00,M
LEB,2020-12-02 11:53,0.00,M
LEB,2020-12-02 12:53,0.00,M
LEB,2020-12-02 13:53,0.00,M
LEB,2020-12-02 14:53,0.00,M
LEB,2020-12-02 15:53,0.00,M
LEB,2020-12-02 16:53,0.00,M
LEB,2020-12-02 17:53,0.00,M
LEB,2020-12-02 18:18,T,-SN
LEB,2020-12-02 18:45,T,-SN
LEB,2020-12-02 18:53,0.25,-SN
LEB,2020-12-02 19:08,T,HZ
LEB,2020-12-02 19:53,T,M
LEB,2020-12-02 20:53,0.00,M
LEB,2020-12-02 21:53,0.00,M
LEB,2020-12-02 22:53,0.00,M
LEB,2020-12-02 23:53,0.00,M
LEB,2020-12-03 00:02,T,-SN
LEB,2020-12-03 00:06,T,-SN
LEB,2020-12-03 00:23,T,-SN
LEB,2020-12-03 00:42,T,-SN
LEB,2020-12-03 00:53,T,M
LEB,2020-12-03 01:53,0.00,M
LEB,2020-12-03 02:53,0.00,M
LEB,2020-12-03 03:20,0.00,M
LEB,2020-12-03 03:53,0.00,M
LEB,2020-12-03 04:53,0.00,M
LEB,2020-12-03 05:53,0.00,M
LEB,2020-12-03 06:53,0.00,M
LEB,2020-12-03 07:53,0.00,M
LEB,2020-12-03 08:53,0.00,M
LEB,2020-12-03 09:53,0.00,M
LEB,2020-12-03 10:53,0.00,M
LEB,2020-12-03 11:53,0.00,M
LEB,2020-12-03 12:53,0.00,M
LEB,2020-12-03 13:53,0.00,M
LEB,2020-12-03 14:53,0.00,M
LEB,2020-12-03 15:53,0.00,M
LEB,2020-12-03 16:53,0.00,M
LEB,2020-12-03 17:53,0.00,M
LEB,2020-12-03 18:53,0.00,M
LEB,2020-12-03 19:53,0.00,M
LEB,2020-12-03 20:53,0.00,M
LEB,2020-12-03 21:53,0.00,M
LEB,2020-12-03 22:53,0.00,M
LEB,2020-12-03 23:53,0.00,M
LEB,2020-12-04 00:53,0.00,M
LEB,2020-12-04 01:53,0.00,M
LEB,2020-12-04 02:53,0.00,M
LEB,2020-12-04 03:53,0.00,M
LEB,2020-12-04 04:53,0.00,M
LEB,2020-12-04 05:53,0.00,M
LEB,2020-12-04 06:53,0.00,M
LEB,2020-12-04 07:53,0.00,M
LEB,2020-12-04 08:53,0.00,M
LEB,2020-12-04 09:53,0.00,M
LEB,2020-12-04 10:53,0.00,M
LEB,2020-12-04 11:53,0.00,M
LEB,2020-12-04 12:53,0.00,M
LEB,2020-12-04 13:53,0.00,M
LEB,2020-12-04 14:53,0.00,M
LEB,2020-12-04 15:53,0.00,M
LEB,2020-12-04 16:53,0.00,M
LEB,2020-12-04 17:53,0.00,M
LEB,2020-12-04 18:53,0.00,M
LEB,2020-12-04 19:53,0.00,M
LEB,2020-12-04 20:53,0.00,M
LEB,2020-12-04 21:53,T,M
LEB,2020-12-04 22:53,0.00,M
