station,valid,p01m,wxcodes
MWN,2022-12-01 00:55,0.00,-SN FZFG
MWN,2022-12-01 01:57,0.00,-SGSN FZFG
MWN,2022-12-01 02:54,0.00,-PLSN FZFG
MWN,2022-12-01 03:49,0.00,-SN FZFG BLSN
MWN,2022-12-01 04:57,0.00,-SN FZFG BLSN
MWN,2022-12-01 05:50,0.00,-SN FZFG BLSN
MWN,2022-12-01 06:52,0.00,-SN FZFG BLSN
MWN,2022-12-01 07:54,0.00,FZFG BLSN
MWN,2022-12-01 08:52,0.00,FZFG BLSN
MWN,2022-12-01 09:57,0.00,FZFG BLSN
MWN,2022-12-01 10:59,0.00,FZFG BLSN
MWN,2022-12-01 11:48,0.00,FZFG BLSN
MWN,2022-12-01 12:58,0.00,FZFG BLSN
MWN,2022-12-01 13:51,0.00,-SN FZFG BLSN
MWN,2022-12-01 14:50,0.00,-SN FZFG BLSN
MWN,2022-12-01 15:53,0.00,-SN FZFG BLSN
MWN,2022-12-01 16:58,0.00,-SN FZFG BLSN
MWN,2022-12-01 17:49,0.00,-SN FZFG BLSN
MWN,2022-12-01 18:51,0.00,-SN FZFG BLSN
MWN,2022-12-01 19:50,0.00,-SN FZFG BLSN
MWN,2022-12-01 20:49,0.00,-SN FZFG BLSN
MWN,2022-12-01 21:53,0.00,FZFG BLSN
MWN,2022-12-01 22:55,0.00,FZFG BLSN
MWN,2022-12-01 23:57,0.00,-SHSN FZFG BLSN
MWN,2022-12-02 00:54,0.00,-SHSN FZFG BLSN
MWN,2022-12-02 01:50,0.00,-SHSN FZFG BLSN
MWN,2022-12-02 02:58,0.00,FZFG BLSN
MWN,2022-12-02 03:52,0.00,FZFG BLSN
MWN,2022-12-02 04:53,0.00,FZFG BLSN
MWN,2022-12-02 05:50,0.00,FZFG
MWN,2022-12-02 06:56,0.00,FZFG
MWN,2022-12-02 07:55,0.00,FZFG
MWN,2022-12-02 08:54,0.00,FZFG
MWN,2022-12-02 09:49,0.00,FZFG
MWN,2022-12-02 10:56,0.00,BCFG
MWN,2022-12-02 11:47,0.00,M
MWN,2022-12-02 12:49,0.00,M
MWN,2022-12-02 13:53,0.00,M
MWN,2022-12-02 14:50,0.00,M
MWN,2022-12-02 15:48,0.00,M
MWN,2022-12-02 16:53,0.00,M
MWN,2022-12-02 17:53,0.00,M
MWN,2022-12-02 18:53,0.00,M
MWN,2022-12-02 19:54,0.00,M
MWN,2022-12-02 20:56,0.00,M
MWN,2022-12-02 21:50,0.00,M
MWN,2022-12-02 22:52,0.00,M
MWN,2022-12-02 23:58,0.00,M
MWN,2022-12-03 00:52,0.00,M
MWN,2022-12-03 01:52,0.00,M
MWN,2022-12-03 02:52,0.00,M
MWN,2022-12-03 03:51,0.00,M
MWN,2022-12-03 04:56,0.00,M
MWN,2022-12-03 05:54,0.00,VCSH
MWN,2022-12-03 06:50,0.00,M
MWN,2022-12-03 07:55,0.00,M
MWN,2022-12-03 08:51,0.00,M
MWN,2022-12-03 09:50,0.00,M
MWN,2022-12-03 10:59,0.00,M
MWN,2022-12-03 11:47,0.00,M
MWN,2022-12-03 12:47,0.00,FZFG
MWN,2022-12-03 13:50,0.00,-RA FZFG
MWN,2022-12-03 14:51,0.00,-FZRA -PL FZFG
MWN,2022-12-03 15:54,0.00,-SN -PL FZFG
MWN,2022-12-03 16:50,0.00,PLSN -FZRA FZFG
MWN,2022-12-03 17:47,0.00,-SN -FZRA FZFG
MWN,2022-12-03 18:50,0.00,FZFG
MWN,2022-12-03 19:49,0.00,FZFG
MWN,2022-12-03 20:50,0.00,FG
MWN,2022-12-03 21:50,0.00,-RA FG
MWN,2022-12-03 22:54,0.00,FZFG
MWN,2022-12-03 23:56,0.00,FZFG
