station,valid,p01m,wxcodes
PSM,2022-12-01 00:55,9.14,+RA BR
PSM,2022-12-01 01:01,0.00,+RA BR SQ
PSM,2022-12-01 01:21,0.00,-RA BR
PSM,2022-12-01 01:44,0.00,-RA
PSM,2022-12-01 01:55,3.56,-RA
PSM,2022-12-01 02:55,T,-RA
PSM,2022-12-01 03:55,T,M
PSM,2022-12-01 04:55,0.00,M
PSM,2022-12-01 05:55,0.00,M
PSM,2022-12-01 06:55,0.00,M
PSM,2022-12-01 07:55,0.00,M
PSM,2022-12-01 08:55,0.00,M
PSM,2022-12-01 09:55,0.00,M
PSM,2022-12-01 10:55,0.00,M
PSM,2022-12-01 11:55,0.00,M
PSM,2022-12-01 12:55,0.00,M
PSM,2022-12-01 13:55,0.00,M
PSM,2022-12-01 14:55,0.00,M
PSM,2022-12-01 15:55,0.00,M
PSM,2022-12-01 16:55,0.00,M
PSM,2022-12-01 17:55,0.00,M
PSM,2022-12-01 18:55,0.00,M
PSM,2022-12-01 19:55,0.00,M
PSM,2022-12-01 20:55,0.00,M
PSM,2022-12-01 21:55,0.00,M
PSM,2022-12-01 22:55,0.00,M
PSM,2022-12-01 23:55,0.00,M
PSM,2022-12-02 00:55,0.00,M
PSM,2022-12-02 01:55,0.00,M
PSM,2022-12-02 02:55,0.00,M
PSM,2022-12-02 03:55,0.00,M
PSM,2022-12-02 04:55,0.00,M
PSM,2022-12-02 05:55,0.00,M
PSM,2022-12-02 06:55,0.00,M
PSM,2022-12-02 07:55,0.00,M
PSM,2022-12-02 08:55,0.00,M
PSM,2022-12-02 09:55,0.00,M
PSM,2022-12-02 10:55,0.00,M
PSM,2022-12-02 11:55,0.00,M
PSM,2022-12-02 12:55,0.00,M
PSM,2022-12-02 13:55,0.00,M
PSM,2022-12-02 14:55,0.00,M
PSM,2022-12-02 15:55,0.00,M
PSM,2022-12-02 16:55,0.00,M
PSM,2022-12-02 17:55,0.00,M
PSM,2022-12-02 18:55,0.00,M
PSM,2022-12-02 19:55,0.00,M
PSM,2022-12-02 20:55,0.00,M
PSM,2022-12-02 21:55,0.00,M
PSM,2022-12-02 22:55,0.00,M
PSM,2022-12-02 23:55,0.00,M
PSM,2022-12-03 00:55,0.00,M
PSM,2022-12-03 01:55,0.00,M
PSM,2022-12-03 02:55,0.00,M
PSM,2022-12-03 03:55,0.00,M
PSM,2022-12-03 04:55,0.00,M
PSM,2022-12-03 05:55,0.00,M
PSM,2022-12-03 06:55,0.00,M
PSM,2022-12-03 07:55,0.00,M
PSM,2022-12-03 08:55,0.00,M
